,class,precision,recall,F1,accuracy,MAE,MPE,mean_F1_ev0,precision_geno_ttest_pval,recall_geno_ttest_pval,F1_geno_ttest_pval
0,classifier1,0.6857142857142857,0.21621621621621623,0.32876712328767127,0.19672131147540983,7.6,0.06846846846846846,0.3374338624338624,0.04665115635409406,2.0632748901762492e-07,0.02095493171892498
0,classifier10,0.6666666666666666,0.5094339622641509,0.5775401069518716,0.40601503759398494,2.5,0.02358490566037736,0.6112955643390426,0.0035238143840277468,0.0018282237728110883,0.011263710017321604
0,classifier1000,0.6470588235294118,0.09482758620689655,0.16541353383458646,0.09016393442622951,9.9,0.0853448275862069,0.1750915750915751,0.15582739174373217,3.6696278107638937e-10,0.001063861503122749
0,classifier11,0.7047619047619048,0.6981132075471698,0.7014218009478673,0.5401459854014599,0.1,0.0009433962264150943,0.6785373099147628,0.007164948454671265,0.006199656982028708,0.03946598966008228
0,classifier13,0.6818181818181818,0.7075471698113207,0.6944444444444443,0.5319148936170213,-0.4,-0.0037735849056603774,0.6751336898395722,0.006805575872636909,0.005791649974684634,0.0338120217961236
0,classifier14lap,0.7816091954022989,0.6415094339622641,0.7046632124352331,0.544,1.9,0.017924528301886792,0.659053834866414,0.009537559968708227,0.0032894217808128326,0.00883512611815802
0,classifier15,0.7954545454545454,0.660377358490566,0.7216494845360825,0.5645161290322581,1.8,0.016981132075471698,0.6653584510727367,0.009959000463880341,0.004095118331276617,0.011259866832032171
0,classifier16,0.7159090909090909,0.5943396226415094,0.6494845360824741,0.48091603053435117,1.8,0.016981132075471698,0.6703611034274649,0.015555098628876192,0.002865790980992664,0.006186873475570795
0,classifier17,0.7763157894736842,0.5566037735849056,0.6483516483516483,0.4796747967479675,3.0,0.02830188679245283,0.6484584793883114,0.033983775567712565,0.0024287212002256646,0.007082229306818116
0,classifier18,0.7096774193548387,0.4036697247706422,0.5146198830409358,0.3464566929133858,4.7,0.043119266055045874,0.4690656565656566,0.007394825789726839,1.999433812565644e-05,0.015378837764038557
0,classifier19,0.6451612903225806,0.5660377358490566,0.6030150753768844,0.4316546762589928,1.3,0.012264150943396227,0.5336515353805074,0.001044831639620023,0.00025419455654384753,0.014157599754574715
0,classifier2,0.75,0.33962264150943394,0.4675324675324676,0.3050847457627119,5.8,0.05471698113207547,0.5324675324675325,0.019507361937640706,0.0008973350477336213,0.0023531579655574914
0,classifier20,0.6326530612244898,0.5849056603773585,0.6078431372549019,0.43661971830985913,0.8,0.007547169811320755,0.555944963655244,0.0009297088903686369,0.0004925298527587256,0.019220701675392842
0,classifier2000,0.06666666666666667,0.05660377358490566,0.061224489795918366,0.031578947368421054,1.6,0.01509433962264151,0.31900418594404056,0.00030789485405293863,0.00045867049070061604,0.019201713471743747
0,classifier2001,0.8484848484848485,0.509090909090909,0.6363636363636364,0.4666666666666667,4.4,0.04,0.6491939771226698,0.061060211060076156,0.0018808275732620486,0.01240599205782889
0,classifier2002,0.5522388059701493,0.34579439252336447,0.4252873563218391,0.27007299270072993,4.0,0.037383177570093455,0.4721819762387714,0.0062667038051409316,2.08110424491739e-05,0.0015574426205898766
0,classifier21,0.6428571428571429,0.5943396226415094,0.6176470588235294,0.44680851063829785,0.8,0.007547169811320755,0.549832283205192,0.001167151218512477,0.000371849763441603,0.018475101911518143
0,classifier22,0.6956521739130435,0.6037735849056604,0.6464646464646465,0.47761194029850745,1.4,0.013207547169811321,0.5503968253968253,0.0012700735755221957,0.0004030982526066713,0.01993088640675089
0,classifier23,0.6962025316455697,0.5092592592592593,0.5882352941176472,0.4166666666666667,2.9,0.026851851851851856,0.5168756875687569,0.003092459495358889,0.00019075245526151334,0.011614676746094696
0,classifier24,0.6442307692307693,0.6320754716981132,0.638095238095238,0.46853146853146854,0.2,0.0018867924528301887,0.5683605439352876,0.001054115829625025,0.0007418191667533297,0.024652805722536957
0,classifier25,0.6095238095238096,0.6037735849056604,0.6066350710900474,0.43537414965986393,0.1,0.0009433962264150943,0.5328719233982391,0.0007096448619190489,0.00040049298410016525,0.017653093124309956
0,classifier4,0.5833333333333334,0.06306306306306306,0.1138211382113821,0.0603448275862069,9.9,0.0891891891891892,0.1856060606060606,0.022128926024617007,3.232445537727821e-10,0.0502328655509047
0,classifier7,0.7763157894736842,0.5363636363636364,0.6344086021505375,0.4645669291338583,3.4,0.030909090909090907,0.6440333015797413,0.03935713982145913,0.0017485218964758409,0.04747023636923589
0,classifier9,0.5670103092783505,0.5188679245283019,0.541871921182266,0.3716216216216216,0.9,0.008490566037735849,0.58754662004662,0.003134066975789363,0.0017114084488785756,0.01272077348672071
